,countryid,datacategoryid,datatype,name,date,value_mean,value_median
70,FIPS:FR,COMP,CLDD,Cooling Degree Days,2019-11-01T00:00:00,0.030952380952380953,0.0
71,FIPS:FR,COMP,CLDD,Cooling Degree Days,2019-12-01T00:00:00,0.0,0.0
72,FIPS:FR,COMP,CLDD,Cooling Degree Days,2020-01-01T00:00:00,0.0,0.0
73,FIPS:FR,COMP,CLDD,Cooling Degree Days,2020-02-01T00:00:00,4.7749999999999995,0.0
74,FIPS:FR,COMP,CLDD,Cooling Degree Days,2020-03-01T00:00:00,0.0,0.0
75,FIPS:FR,COMP,CLDD,Cooling Degree Days,2020-04-01T00:00:00,0.30638297872340425,0.0
76,FIPS:FR,COMP,CLDD,Cooling Degree Days,2020-05-01T00:00:00,14.640425531914895,9.7
77,FIPS:FR,COMP,CLDD,Cooling Degree Days,2020-06-01T00:00:00,36.26444444444444,26.3
78,FIPS:FR,COMP,CLDD,Cooling Degree Days,2020-07-01T00:00:00,95.50851063829786,84.7
79,FIPS:FR,COMP,CLDD,Cooling Degree Days,2020-08-01T00:00:00,128.0090909090909,114.94999999999999
80,FIPS:FR,COMP,CLDD,Cooling Degree Days,2020-09-01T00:00:00,52.83181818181818,46.65
81,FIPS:FR,COMP,CLDD,Cooling Degree Days,2020-10-01T00:00:00,0.7214285714285714,0.0
82,FIPS:FR,COMP,CLDD,Cooling Degree Days,2020-11-01T00:00:00,0.0,0.0
83,FIPS:FR,COMP,CLDD,Cooling Degree Days,2020-12-01T00:00:00,4.680952380952381,0.0
84,FIPS:FR,COMP,CLDD,Cooling Degree Days,2021-01-01T00:00:00,76.63333333333334,0.0
85,FIPS:FR,COMP,CLDD,Cooling Degree Days,2021-03-01T00:00:00,0.0,0.0
86,FIPS:FR,COMP,CLDD,Cooling Degree Days,2021-04-01T00:00:00,15.6,0.0
87,FIPS:FR,COMP,CLDD,Cooling Degree Days,2021-05-01T00:00:00,3.483333333333333,3.3499999999999996
88,FIPS:FR,COMP,CLDD,Cooling Degree Days,2021-06-01T00:00:00,55.17999999999999,50.8
89,FIPS:FR,COMP,CLDD,Cooling Degree Days,2021-07-01T00:00:00,39.67,44.55
90,FIPS:FR,COMP,CLDD,Cooling Degree Days,2021-08-01T00:00:00,49.144444444444446,51.0
91,FIPS:FR,COMP,CLDD,Cooling Degree Days,2021-09-01T00:00:00,30.25,29.85
92,FIPS:FR,COMP,CLDD,Cooling Degree Days,2021-10-01T00:00:00,0.0,0.0
93,FIPS:FR,COMP,CLDD,Cooling Degree Days,2021-11-01T00:00:00,0.0,0.0
94,FIPS:FR,COMP,CLDD,Cooling Degree Days,2021-12-01T00:00:00,0.0,0.0
95,FIPS:FR,COMP,CLDD,Cooling Degree Days,2022-01-01T00:00:00,0.0,0.0
96,FIPS:FR,COMP,CLDD,Cooling Degree Days,2022-02-01T00:00:00,0.0,0.0
97,FIPS:FR,COMP,CLDD,Cooling Degree Days,2022-03-01T00:00:00,45.3,0.0
98,FIPS:FR,COMP,CLDD,Cooling Degree Days,2022-04-01T00:00:00,20.060000000000002,0.0
99,FIPS:FR,COMP,CLDD,Cooling Degree Days,2022-05-01T00:00:00,24.77692307692308,24.9
100,FIPS:FR,COMP,CLDD,Cooling Degree Days,2022-06-01T00:00:00,71.125,75.75
101,FIPS:FR,COMP,CLDD,Cooling Degree Days,2022-07-01T00:00:00,121.47500000000001,127.8
102,FIPS:FR,COMP,CLDD,Cooling Degree Days,2022-08-01T00:00:00,138.61111111111111,139.7
103,FIPS:FR,COMP,CLDD,Cooling Degree Days,2022-09-01T00:00:00,35.016666666666666,36.75
104,FIPS:FR,COMP,CLDD,Cooling Degree Days,2022-10-01T00:00:00,14.1,14.1
105,FIPS:FR,COMP,CLDD,Cooling Degree Days,2022-11-01T00:00:00,0.0,0.0
106,FIPS:FR,COMP,CLDD,Cooling Degree Days,2022-12-01T00:00:00,0.0,0.0
107,FIPS:FR,COMP,CLDD,Cooling Degree Days,2023-02-01T00:00:00,0.0,0.0
108,FIPS:FR,COMP,CLDD,Cooling Degree Days,2023-03-01T00:00:00,0.0,0.0
109,FIPS:FR,COMP,CLDD,Cooling Degree Days,2023-04-01T00:00:00,0.0,0.0
110,FIPS:FR,COMP,CLDD,Cooling Degree Days,2023-05-01T00:00:00,7.1909090909090905,5.5
111,FIPS:FR,COMP,CLDD,Cooling Degree Days,2023-06-01T00:00:00,60.84166666666667,46.7
112,FIPS:FR,COMP,CLDD,Cooling Degree Days,2023-07-01T00:00:00,93.51428571428572,81.0
113,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2014-01-01T00:00:00,19.49397590361446,21.0
114,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2014-02-01T00:00:00,18.814814814814813,19.0
115,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2014-03-01T00:00:00,9.65,9.0
116,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2014-04-01T00:00:00,10.407407407407407,10.0
117,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2014-05-01T00:00:00,13.975308641975309,15.0
118,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2014-06-01T00:00:00,9.469135802469136,9.0
119,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2014-07-01T00:00:00,14.209876543209877,15.0
120,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2014-08-01T00:00:00,14.419753086419753,15.0
121,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2014-09-01T00:00:00,9.075,8.0
122,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2014-10-01T00:00:00,12.951219512195122,13.0
123,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2014-11-01T00:00:00,15.670731707317072,15.0
124,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2014-12-01T00:00:00,15.222222222222221,15.0
125,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2015-01-01T00:00:00,15.378048780487806,17.0
126,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2015-02-01T00:00:00,13.182926829268293,12.0
127,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2015-03-01T00:00:00,12.975903614457831,12.0
128,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2015-04-01T00:00:00,10.0,9.0
129,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2015-05-01T00:00:00,10.88888888888889,12.0
130,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2015-06-01T00:00:00,8.795180722891565,8.0
131,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2015-07-01T00:00:00,8.817073170731707,7.0
132,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2015-08-01T00:00:00,11.048780487804878,11.0
133,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2015-09-01T00:00:00,10.5,11.0
134,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2015-10-01T00:00:00,11.317073170731707,10.5
135,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2015-11-01T00:00:00,13.024390243902438,12.5
136,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2015-12-01T00:00:00,10.182926829268293,8.5
137,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2016-01-01T00:00:00,17.536585365853657,18.0
138,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2016-02-01T00:00:00,16.45679012345679,17.0
139,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2016-03-01T00:00:00,14.317073170731707,15.0
140,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2016-04-01T00:00:00,15.560975609756097,16.5
141,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2016-05-01T00:00:00,14.24390243902439,14.0
142,FIPS:FR,COMP,DP01,Number of days with greater than or equal to 0.1 inch of precipitation,2016-06-01T00:00:00,14.82716049382716,15.0
